text,class,cleaned_text
طوال حياتي لم المس اي تغير حتى قدمت هذه الحكومة فل نقف بجانها بصوتنا,0,طوال حياتي لم المس اي تغير حتى قدمت هذه الحكومة فل نقف بجانها بصوتنا
منتوج رائع  وثمن مناسب ....جميل,0,منتوج رائع وثمن مناسب جميل
كلنا ابن كيران لمتافق معايا يدير جيم,0,كلنا ابن كيران لمتافق معايا يدير جيم
وفقك الله لولاية اخرى حقاش مكينش محسن منك,0,وفقك اله لولاية اخرى حقاش مكينش محسن منك
لأنه و بكل بساطة رئيس الحكومة يعتني بمعاق داخل بيته جعله الله في ميزان حسناته,0,لأنه و بكل بساطة رئيس الحكومة يعتني بمعاق داخل بيته جعله اله في ميزان حسناته
صدق من قال بن كيران أحسن رئيس حكومة مند الاستقلال  تحياتي لك .,0,صدق من قال بن كيران أحسن رئيس حكومة مند الاستقلال تحياتي لك
"""حبنا لك لن ينتهي،",0,حبنا لك لن ينتهي
"""تحية حب وإحترام من الفايسبوك إلى الملك الهمام ",0,تحية حب وإحترام من الفايسبوك إلى الملك الهمام
أقـول: ملكنا واحد،، محمـد ,0,أقول ملكنا واحد محمد
"_,""أَحْــسَـنُ ثُنَــائِي مَـلَــكِي فِــي الـعَـالَــــمِ.",0,أحسن ثنائي ملكي في العالم
",""إبتسامة مـــلــــك : أعشقـــــــــــــــــــــــــك ، ",0,إبتسامة ملك أعشقك
مغربنا وطنـــنــا روحــي فــداه...........ومـــن يدس حقوقه يـــــــدق رداه,0,مغربنا وطنا روحي فداه ومن يدس حقوقه يدق رداه
أعشـقـك يا مـلكي أينما تكــــون وحيثما تكـــــــــــون,0,أعشقك يا ملكي أينما تكون وحيثما تكون
حفظك الله لنا و شافاك و عافاك و بارك في عمرك يا حبيب الملايين♥,0,حفظك اله لنا و شافاك و عافاك و بارك في عمرك يا حبيب الملاين بدلة القلب
شكرا يا محمد السادس...♥,0,شكرا يا محمد السادس بدلة القلب
"""الصحراء مغربية شاء من شاء و أبى من أبى",0,الصحراء مغربية شاء من شاء و أبى من أبى
"_,""ما الحـــب إلا لـوطــني و ما الــوفاء إلا لملـــكــي",0,ما الحب إلا لوطني و ما الوفاء إلا لملكي
و ما الــرمــال الذهبية إلا فــي الصحراء المغربيــة,0,و ما الرمال الذهبية إلا في الصحراء المغربية
و ما شعــارنـا الخــالـد غـصـبا عــن كــل حــاقــد,0,و ما شعارنا الخالد غصبا عن كل حاقد
الـــــــلــــــــــه الـــــــوطـــــــــن الــــــمــــلـــــك,0,اله الوطن الملك
أتقدم بأحر التهاني الى جمـيع المغاربة الأمازيغيين،،,0,أتقدم بأحر التهاني الى جميع المغاربة الأمازيغين
