emoji,text
🎃,جاك فانوس
🎄,شجرة عيد الميلاد
🎆,العاب ناريه
🎇,الماسة
🧨,مفرقعة نارية
✨,بريق
🎈,بالون
🎉,بوبر الحزب
🎊,كرة النثار
🎋,شجرة تاناباتا
🎍,زخرفة الصنوبر
🎎,الدمى اليابانية
🎏,غاسل الكارب
🎐,تتناغم الرياح
🎑,حفل مشاهدة القمر
🧧,مغلف أحمر
🎀,شريط
🎁,هدية ملفوفة
🎗️,شريط تذكير
🎗,شريط تذكير
🎟️,تذاكر الدخول
🎟,تذاكر الدخول
🎫,تذكرة
🎖️,ميدالية عسكرية
🎖,ميدالية عسكرية
🏆,غنيمة
🏅,ميدالية رياضية
🥇,ميدالية المركز الأول
🥈,ميدالية المركز الثاني
🥉,ميدالية المركز الثالث
⚽,كرة القدم
⚾,البيسبول
🥎,الكرة اللينة
🏀,كرة سلة
🏐,الكرة الطائرة
🏈,كرة القدم الأمريكية
🏉,كرة الرجبي
🎾,تنس
🥏,قرص طائر
🎳,البولينج
🏏,لعبة الكريكيت
🏑,الهوكي
🏒,الهوكى الجليدى
🥍,لاكروس
🏓,بينج بونج
🏸,تنس الريشة
🥊,قفازات الملاكمة
🥋,زي فنون الدفاع عن النفس
🥅,شبكة الهدف
⛳,علم في حفرة
⛸️,تزلج على الجليد
⛸,تزلج على الجليد
🎣,صنارة صيد
🤿,قناع الغطس
🎽,قميص الجري
🎿,الزلاجات
🛷,تزلج
🥌,حجر الشباك
🎯,إصابة دقيقة للهدف
🪀,yo-yo
🪁,طائرة ورقية
🔫,مسدس ماء
🎱,تجمع 8 الكرة
🔮,كره كريستال
🪄,عصا سحرية
🎮,لعبة فيديو
🕹️,عصا التحكم
🕹,عصا التحكم
🎰,فتحة آلة
🎲,تموت اللعبة
🧩,قطعة اللغز
🧸,دمية دب
🪅,بياتا
🪩,كرة الديسكو
🪆,دمى قطنية
♠️,بدلة بأسمائها الحقيقية
♠,بدلة بأسمائها الحقيقية
♥️,بدلة القلب
♥,بدلة القلب
♦️,بدلة الماس
♦,بدلة الماس
♣️,بدلة النادي
♣,بدلة النادي
♟️,بيدق الشطرنج
♟,بيدق الشطرنج
🃏,مهرج
🀄,جونغ التنين الأحمر
🎴,لعب الورق
🎭,الفنون التمثيلية
🖼️,صورة مؤطرة
🖼,صورة مؤطرة
🎨,لوحة الفنان
🧵,خيط
🪡,ابرة خياطة
🧶,غزل
🪢,عقدة
🐵,وجه القرد
🐒,قرد
🦍,غوريلا
🦧,انسان الغابة
🐶,وجه الكلب
🐕,كلب
🦮,دليل الكلب
🐕‍🦺,كلب الخدمة
🐩,القلطي
🐺,ذئب
🦊,الثعلب
🦝,الراكون
🐱,وجه القطة
🐈,قطة
🐈‍⬛,قط أسود
🦁,أسد
🐯,وجه النمر
🐅,نمر
🐆,فهد
🐴,وجه الحصان
🫎,غزال أمريكي ضخم
🫏,حمار
🐎,حصان
🦄,وحيد القرن
🦓,الحمار الوحشي
🦌,عزيزي
🦬,الثور
🐮,وجه بقرة
🐂,ثور
🐃,جاموس الماء
🐄,بقرة
🐷,وجه خنزير
🐖,خنزير
🐗,خنزير
🐽,أنف خنزير
🐏,كبش
🐑,نعجة
🐐,معزة
🐪,جمل
🐫,جمل ذو سنامين
🦙,اللاما
🦒,زرافة
🐘,الفيل
🦣,الماموث
🦏,وحيد القرن
🦛,فرس نهر
🐭,وجه الفأر
🐁,الفأر
🐀,فأر
🐹,الهامستر
🐰,وجه أرنب
🐇,أرنب
🐿️,سنجاب
🐿,سنجاب
🦫,سمور
🦔,قنفذ
🦇,مضرب
🐻,دُبٌّ
🐻‍❄️,الدب القطبي
🐻‍❄,الدب القطبي
🐨,كوالا
🐼,الباندا
🦥,كسل
🦦,قندس
🦨,الظربان
🦘,كنغر
🦡,الغرير
🐾,بمخالبه
🦃,ديك رومى
🐔,فرخة
🐓,الديك
🐣,تفقيس كتكوت
🐤,طفل كتكوت
🐥,الفرخ الصغير المواجه للأمام
🐦,طائر
🐧,البطريق
🕊️,حمامة
🕊,حمامة
🦅,نسر
🦆,بطة
🦢,بجعة
🦉,بُومَة
🦤,طائر الدودو
🪶,ريشة
🦩,فلامنغو
🦚,الطاووس
🦜,ببغاء
🪽,جناح
🐦‍⬛,طائر أسود
🪿,أوزة
🐸,ضفدع
🐊,تمساح
🐢,سلحفاة
🦎,سحلية
🐍,ثعبان
🐲,وجه التنين
🐉,تنين
🦕,سوروبود
🦖,تي ريكس
🐳,تنفث الحوت
🐋,حوت
🐬,دولفين
🦭,ختم
🐟,سمكة
🐠,أسماك إستوائية
🐡,السمكة المنتفخة
🦈,سمك القرش
🐙,أخطبوط
🐚,قذيفة لولبية
🪸,المرجان
🪼,قناديل البحر
🐌,حلزون
🦋,فراشة
🐛,حشرة
🐜,نملة
🐝,عسل النحل
🪲,خنفساء
🐞,سيدة خنفساء
🦗,كريكيت
🪳,صرصور
🕷️,العنكبوت
🕷,العنكبوت
🕸️,الشبكه العنكبوتيه
🕸,الشبكه العنكبوتيه
🦂,برج العقرب
🦟,البعوض
🪰,يطير
🪱,دُودَة
🦠,ميكروب
💐,باقة أزهار
🌸,زهرة الكرز
💮,زهرة بيضاء
🪷,لوتس
🏵️,وردة
🏵,وردة
🌹,وَردَة
🥀,زهرة ذابلة
🌺,كركديه
🌻,دوار الشمس
🌼,زهر
🌷,الخزامى
🪻,صفير
🌱,الشتلات
🪴,النبات المحفوظ بوعاء
🌲,شجرة دائمة الخضرة
🌳,شجرة متهاوية
🌴,شجرة النخيل
🌵,صبار
🌾,حزمة من الأرز
🌿,عشب
☘️,النفل
☘,النفل
🍀,اربع اوراق برسيم
🍁,ورقة القيقب
🍂,الأوراق المتساقطة
🍃,أوراق ترفرف في مهب الريح
🪹,عش فارغ
🪺,عش مع البيض
🍄,فطر
🏻,لون البشرة الفاتح
🏼,لون بشرة متوسط ​​إلى فاتح
🏽,لون بشرة متوسط
🏾,لون بشرة متوسط ​​الغامق
🏿,لون البشرة الداكن
🦰,شعر احمر
🦱,شعر مجعد
🦳,شعر أبيض
🦲,أصلع
🏁,علم متقلب
🚩,العلم الثلاثي
🎌,عبر الأعلام
🏴,علم اسود
🏳️,علم أبيض
🏳,علم أبيض
🏳️‍🌈,علم قوس قزح
🏳‍🌈,علم قوس قزح
🏳️‍⚧️,علم المتحولين جنسيا
🏳‍⚧️,علم المتحولين جنسيا
🏳️‍⚧,علم المتحولين جنسيا
🏳‍⚧,علم المتحولين جنسيا
🏴‍☠️,علم القراصنة
🏴‍☠,علم القراصنة
🇦🇨,علم جزيرة أسنسيون
🇦🇩,علم أندورا
🇦🇪,علم دولة الإمارات العربية المتحدة
🇦🇫,علم أفغانستان
🇦🇬,علم أنتيغوا باربودا
🇦🇮,علم أنغيلا
🇦🇱,علم ألبانيا
🇦🇲,علم أرمينيا
🇦🇴,علم أنغولا
🇦🇶,علم القارة القطبية الجنوبية
🇦🇷,علم الأرجنتين
🇦🇸,علم ساموا الأمريكية
🇦🇹,علم النمسا
🇦🇺,علم استراليا
🇦🇼,علم أروبا
🇦🇽,جزر العلم
🇦🇿,علم أذربيجان
🇧🇦,علم البوسنة والهرسك
🇧🇧,علم بربادوس
🇧🇩,علم بنغلاديش
🇧🇪,علم بلجيكا
🇧🇫,علم بوركينا فاسو
🇧🇬,علم بلغاريا
🇧🇭,علم البحرين
🇧🇮,علم بوروندي
🇧🇯,علم بنين
🇧🇱,علم سانت بارتليمي
🇧🇲,علم برمودا
🇧🇳,علم بروناي
🇧🇴,علم بوليفيا
🇧🇶,علم هولندا الكاريبي
🇧🇷,علم البرازيل
🇧🇸,علم جزر البهاما
🇧🇹,علم بوتان
🇧🇻,علم جزيرة بوفيت
🇧🇼,علم بوتسوانا
🇧🇾,علم بيلاروسيا
🇧🇿,علم بليز
🇨🇦,علم كندا
🇨🇨,علم جزر كوكوس كيلينغ
🇨🇩,علم الكونغو - كينشاسا
🇨🇫,علم جمهورية افريقيا الوسطى
🇨🇬,علم الكونغو - برازافيل
🇨🇭,علم سويسرا
🇨🇮,علم كوت ديفوار
🇨🇰,علم جزر كوك
🇨🇱,علم تشيلي
🇨🇲,علم الكاميرون
🇨🇳,علم الصين
🇨🇴,علم كولومبيا
🇨🇵,علم جزيرة كليبرتون
🇨🇷,علم كوستاريكا
🇨🇺,علم كوبا
🇨🇻,علم الرأس الأخضر
🇨🇼,علم كوراو
🇨🇽,علم جزيرة الكريسماس
🇨🇾,علم قبرص
🇨🇿,علم التشيك
🇩🇪,علم ألمانيا
🇩🇬,علم دييغو غارسيا
🇩🇯,علم جيبوتي
🇩🇰,علم الدنمارك
🇩🇲,علم دومينيكا
🇩🇴,علم جمهورية الدومينيكان
🇩🇿,علم الجزائر
🇪🇦,علم سبتة مليلية
🇪🇨,علم الاكوادور
🇪🇪,علم استونيا
🇪🇬,علم مصر
🇪🇭,علم الصحراء الغربية
🇪🇷,علم إريتريا
🇪🇸,علم اسبانيا
🇪🇹,علم إثيوبيا
🇪🇺,علم الاتحاد الأوروبي
🇫🇮,علم فنلندا
🇫🇯,علم فيجي
🇫🇰,علم جزر فوكلاند
🇫🇲,علم ميكرونيزيا
🇫🇴,علم جزر فارو
🇫🇷,علم فرنسا
🇬🇦,علم الجابون
🇬🇧,علم المملكة المتحدة
🇬🇩,علم غرينادا
🇬🇪,علم جورجيا
🇬🇫,علم غيانا الفرنسية
🇬🇬,علم غيرنسي
🇬🇭,علم غانا
🇬🇮,علم جبل طارق
🇬🇱,علم جرينلاند
🇬🇲,علم غامبيا
🇬🇳,علم غينيا
🇬🇵,علم جوادلوب
🇬🇶,علم غينيا الاستوائية
🇬🇷,علم اليونان
🇬🇸,علم جورجيا الجنوبية جزر ساندويتش الجنوبية
🇬🇹,علم غواتيمالا
🇬🇺,علم غوام
🇬🇼,علم غينيا بيساو
🇬🇾,علم غيانا
🇭🇰,علم منطقة هونغ كونغ الإدارية الخاصة بالصين
